[0509/130537.031:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0509/165202.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/071156.192:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/100048.071:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/100051.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/100051.252:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/100051.421:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/100051.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/121937.340:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/191326.417:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/191328.679:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/191331.463:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
